age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country
30,0,147215,10,0,0,0,0,0,0,30,0
60,1,173960,13,1,1,1,0,0,0,42,0
52,0,105428,10,2,0,2,1,0,0,12,0
37,1,112497,13,2,2,2,1,0,0,60,0
63,1,137843,10,2,2,2,1,7298,0,48,0
23,2,82067,11,2,3,2,1,0,0,40,0
47,3,212120,9,2,4,2,1,0,0,40,0
48,4,171986,9,1,1,1,1,0,0,15,0
24,1,180060,12,0,4,1,1,2354,0,40,0
25,4,159909,11,2,5,2,1,0,0,40,0
59,1,108496,14,2,6,2,1,0,0,45,0
60,1,178050,9,1,7,3,0,0,0,38,0
22,1,188544,11,0,8,0,0,0,0,30,0
47,1,133758,9,1,6,1,0,0,1974,40,0
33,1,59944,9,0,9,1,1,0,0,40,0
65,5,153890,8,3,6,1,1,2009,0,44,0
40,1,266084,10,1,4,4,1,0,0,50,0
38,2,108293,14,0,1,4,0,0,0,40,0
52,1,139176,9,2,2,2,1,0,0,8,0
27,2,205499,16,0,1,1,1,0,0,77,0
40,3,64885,14,2,2,2,1,0,0,70,0
37,1,19899,9,2,4,2,1,15024,0,45,0
17,1,263746,6,0,7,0,1,0,0,24,0
24,1,204226,14,0,1,1,0,0,0,40,0
55,1,153484,14,2,6,2,1,0,1977,50,0
56,1,183169,9,0,8,0,0,0,0,35,0
48,1,128460,9,2,4,2,1,0,0,42,0
35,1,166606,10,2,6,2,1,0,0,40,0
38,1,65624,9,1,6,1,1,0,0,40,0
59,1,279636,9,0,8,1,1,0,0,50,1
22,1,254547,10,0,6,3,0,0,0,40,2
55,1,178353,5,1,10,1,1,10520,0,60,0
55,1,158702,10,0,8,1,0,0,2339,45,3
17,1,160049,6,0,7,0,0,0,0,12,0
42,1,219155,13,2,2,2,1,15024,0,50,0
33,4,134737,9,2,4,2,1,0,0,35,0
52,1,177942,9,2,8,5,0,0,0,40,0
42,1,44402,13,2,2,2,1,0,0,60,0
23,1,203182,13,0,2,1,0,0,0,40,0
40,1,168294,9,2,4,2,1,0,0,40,0
40,1,232820,11,1,6,3,0,0,0,40,0
34,1,193344,10,0,8,3,0,0,0,40,4
24,1,179203,8,0,2,4,1,0,0,55,0
25,2,157028,13,0,6,1,1,0,0,40,0
57,3,220789,9,2,2,2,1,0,0,45,0
59,1,142182,9,2,7,2,1,0,0,40,0
37,3,163998,12,2,2,2,1,0,0,50,0
18,0,128538,10,0,0,0,0,0,0,6,0
37,5,189878,10,2,3,2,1,0,0,60,0
33,3,374905,9,2,2,2,1,0,0,50,0
28,1,274579,9,2,9,2,1,0,0,60,0
34,3,207668,9,2,4,2,1,0,0,54,3
44,1,121718,13,2,6,2,1,15024,0,48,0
